scientific_name,group,source,conservation_status,match_level,speciesnet_detectable,geofence_status,speciesnet_common_name,speciesnet_label
Aburria aburri,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,wattled guan,8f6d3436-93ee-465c-96b0-e517d750a244;aves;galliformes;cracidae;aburria;aburri;wattled guan
Accipiter bicolor,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Accipiter collaris,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Accipiter poliogaster,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Accipiter striatus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Accipiter superciliosus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Acropternis orthonyx,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Actitis macularius,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,spotted sandpiper,de674f6d-8ee5-4a65-95eb-12a492fb36b2;aves;charadriiformes;scolopacidae;actitis;macularius;spotted sandpiper
Adelomyia melanogenys,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,speckled hummingbird,75cfaf2a-ccd5-4efe-83cc-0df47512a8dc;aves;caprimulgiformes;trochilidae;adelomyia;melanogenys;speckled hummingbird
Aegolius harrisii,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Aeronautes montivagus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Agamia agami,Ave,Lista Roja de las Aves del Ecuador 2019,,direct_model_species,yes,allowed,agami heron,7283d7f5-7cca-4c57-9fb7-1fb5b9fb1701;aves;pelecaniformes;ardeidae;agamia;agami;agami heron
Agelasticus xanthophthalmus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Aglaeactis cupripennis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Aglaiocercus coelestis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Aglaiocercus kingii,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Agriornis albicauda,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Agriornis montanus,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Amaurolimnas concolor,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Amaurospiza concolor,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Amazilia amabilis,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Amazilia amazilia,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Amazilia fimbriata,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Amazilia franciae,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Amazilia lactea,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
Amazilia rosenbergi,Ave,Lista Roja de las Aves del Ecuador 2019,,not_found,no,,,
